Intervals	DegreeName	ChordName	JA	EN
0,7	P1,P5	omit3	空虚五度,パワーコード	OpenFifth,Power
0,12	P1,P8	oct	オクターブ奏法	Octave
0,4,7	P1,M3,P5	M,△	長三和音	Major
0,3,7	P1,m3,P5	m	短三和音	Minor
0,4,7+1	P1,m3,a5	aug	増三和音	Augmented
0,3,7-1	P1,m3,d5	dim	減三和音	Diminished
0,4,7,10	P1,M3,P5,m7	7	属七の和音	Seventh
0,3,7,10	P1,m3,P5,m7	m7	短七の和音	MinorSeventh
0,4,7,11	P1,m3,P5,M7	M7	長七の和音	MajorSeventh
0,3,7-1,9	P1,m3,d5,d7	dim7	減七の和音	DiminishedSeventh
0,4,7+1,11	P1,M3,a5,M7	M7+5	増七の和音	AugmentedSeventh
0,3,7-1,10	P1,m3,d5,m7	m7-5	減五短七の和音	HalfDiminishedSeventh
0,3,7,11	P1,m3,P5,M7	mM7	短三長七の和音	MinorMajorSeventh	
0,4,7,9	P1,M3,P5,M6	C6	メジャーシックスス	MajorSixth
0,3,7,9	P1,m3,P5,M6	Cm6	マイナーシックスス	MinorSixth
0,4,7,10,2+12	P1,M3,P5,m7,M9	9	長九の和音	Ninth	
0,4,7,10,2-1+12	P1,M3,P5,m7,m9	7-9	短九の和音	MajorNinth	
0,4,7,10,2+1+12	P1,M3,P5,m7,a9	7+9	セブンスシャープナインス	SeventhSharpNinth
0,5,7	P1,P4,P5	sus4	サスフォー	Sus4
0,5,7,10	P1,P4,P5,m7	7sus4	セブンスサスフォー	SeventhSus4	
0,2,7	P1,M2,P5	sus2	サスツー	Sus2
0,4,7,10,5+1+12	P1,M3,P5,m7,a11	7+11	セブンスシャープイレブン	SeventhSharp11th
0,4,7,11,5+1+12	P1,m3,P5,M7,a11	M7+11	メジャーセブンスシャープイレブン	MajorSeventhSharp11th
0,4,10,9+12	P1,M3,m7,M13	7(13)	セブンスサーティーンス	Seventh13th
0,4,10,9+12-1	P1,M3,m7,m13	7(b13)	セブンスフラットサーティーンス	SeventhFlat13th
0,4,7,2+12	P1,M3,P5,M9	add9	アドナインス	Add9th
0,4,5,7	P1,M3,P4,P5	add4	アドフォー	Add4
0,4,7-1	P1,M3,d5	-5	ディムフィフス	Dim5th
0,4,7-1,10	P1,M3,d5,m7	C7-5	セブンスディムフィフス	SeventhDim5th
